,128 tokens,256 tokens,512 tokens,1024 tokens,2048 tokens
64 tokens,6.800704988200001,13.355291816599998,27.097793756600005,55.064617321200004,113.6755596016
128 tokens,6.6721228598,13.4116680126,27.083290323799996,55.1604379594,114.07029691099999
256 tokens,6.7758159108000005,13.5672186282,27.352422739400005,55.616389172599995,115.05583087160001
512 tokens,6.973524468799999,13.898887986600002,27.951506515,56.683082468399995,117.07284541239999
1024 tokens,7.337452283999999,14.461165131600001,28.9873308448,58.68138261279999,121.0327085186
